timestamp,service,container_id,container_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,net_input_bytes,net_output_bytes,block_input_bytes,block_output_bytes,pids
2026-04-19T00:47:45+00:00,app,b8fd807cf302,yii3-benchmarks-frankenphp-worker-app-1,30.94,321493402,100298223780,0.32,510000,853000,737000,24600,167
2026-04-19T00:47:45+00:00,postgres,30111113eedb,yii3-benchmarks-frankenphp-worker-postgres-1,1.8,22334669,100298223780,0.02,11000,126,0,274000,6
2026-04-19T00:47:45+00:00,valkey,b4f817953c7d,yii3-benchmarks-frankenphp-worker-valkey-1,0.57,7434404,100298223780,0.01,96300,21600,0,0,5
2026-04-19T00:47:48+00:00,app,b8fd807cf302,yii3-benchmarks-frankenphp-worker-app-1,51.16,393006285,100298223780,0.39,2040000,3440000,737000,24600,167
2026-04-19T00:47:48+00:00,postgres,30111113eedb,yii3-benchmarks-frankenphp-worker-postgres-1,0.01,22041068,100298223780,0.02,11400,126,0,274000,6
2026-04-19T00:47:48+00:00,valkey,b4f817953c7d,yii3-benchmarks-frankenphp-worker-valkey-1,1.65,4636803,100298223780,0,986000,182000,0,0,5
2026-04-19T00:47:51+00:00,app,b8fd807cf302,yii3-benchmarks-frankenphp-worker-app-1,59.79,504050483,100298223780,0.5,4250000,7000000,737000,24600,167
2026-04-19T00:47:51+00:00,postgres,30111113eedb,yii3-benchmarks-frankenphp-worker-postgres-1,0.01,22837985,100298223780,0.02,11400,126,0,340000,6
2026-04-19T00:47:51+00:00,valkey,b4f817953c7d,yii3-benchmarks-frankenphp-worker-valkey-1,3.17,5743051,100298223780,0.01,1960000,359000,0,0,5
2026-04-19T00:47:54+00:00,app,b8fd807cf302,yii3-benchmarks-frankenphp-worker-app-1,62.85,577031373,100298223780,0.58,6650000,11100000,737000,24600,167
2026-04-19T00:47:54+00:00,postgres,30111113eedb,yii3-benchmarks-frankenphp-worker-postgres-1,0.01,22575841,100298223780,0.02,11400,126,0,340000,6
2026-04-19T00:47:54+00:00,valkey,b4f817953c7d,yii3-benchmarks-frankenphp-worker-valkey-1,2.21,4972347,100298223780,0,3420000,616000,0,0,5
2026-04-19T00:47:57+00:00,app,b8fd807cf302,yii3-benchmarks-frankenphp-worker-app-1,92.54,742916096,100298223780,0.74,9270000,15800000,737000,24600,167
2026-04-19T00:47:57+00:00,postgres,30111113eedb,yii3-benchmarks-frankenphp-worker-postgres-1,0.01,22575841,100298223780,0.02,11400,126,0,340000,6
2026-04-19T00:47:57+00:00,valkey,b4f817953c7d,yii3-benchmarks-frankenphp-worker-valkey-1,2.45,4673503,100298223780,0,4820000,864000,0,0,5
2026-04-19T00:48:01+00:00,app,b8fd807cf302,yii3-benchmarks-frankenphp-worker-app-1,90.77,752248422,100298223780,0.75,12500000,22100000,737000,24600,167
2026-04-19T00:48:01+00:00,postgres,30111113eedb,yii3-benchmarks-frankenphp-worker-postgres-1,1.66,24222106,100298223780,0.02,11400,126,0,340000,6
2026-04-19T00:48:01+00:00,valkey,b4f817953c7d,yii3-benchmarks-frankenphp-worker-valkey-1,3.59,4649386,100298223780,0,7180000,1280000,0,0,5
2026-04-19T00:48:04+00:00,app,b8fd807cf302,yii3-benchmarks-frankenphp-worker-app-1,100.67,781818266,100298223780,0.78,16400000,29800000,737000,24600,167
