timestamp,service,container_id,container_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,net_input_bytes,net_output_bytes,block_input_bytes,block_output_bytes,pids
2026-04-19T01:38:09+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,25165824,100298223780,0.03,15800,126,0,2160000,6
2026-04-19T01:38:09+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,2.71,5648679,100298223780,0.01,95800,141000,0,0,5
2026-04-19T01:38:12+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:12+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,4.58,6880756,100298223780,0.01,1100000,1950000,0,0,5
2026-04-19T01:38:15+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:15+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,5.71,7163871,100298223780,0.01,1870000,3320000,0,0,5
2026-04-19T01:38:18+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,1.76,25606226,100298223780,0.03,15800,126,0,2160000,6
2026-04-19T01:38:18+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,7.46,7565476,100298223780,0.01,3340000,5960000,0,0,5
2026-04-19T01:38:21+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:21+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,9.22,7537164,100298223780,0.01,5200000,9290000,0,0,5
2026-04-19T01:38:24+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24903680,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:24+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,12.6,8663335,100298223780,0.01,7450000,13300000,0,0,5
2026-04-19T01:38:27+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:27+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,14.26,7565476,100298223780,0.01,11100000,19800000,0,0,5
2026-04-19T01:38:30+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:30+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,15.56,8298430,100298223780,0.01,13100000,23500000,0,0,5
2026-04-19T01:38:33+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:33+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,20.26,6488588,100298223780,0.01,17800000,31800000,0,0,5
2026-04-19T01:38:36+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:36+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,19.98,8646558,100298223780,0.01,20400000,36500000,0,0,5
2026-04-19T01:38:39+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,1.91,26099057,100298223780,0.03,15800,126,0,2160000,6
2026-04-19T01:38:39+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,23.34,6897533,100298223780,0.01,26000000,46700000,0,0,5
2026-04-19T01:38:42+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:42+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,25.6,7426015,100298223780,0.01,29200000,52300000,0,0,5
2026-04-19T01:38:45+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,25144852,100298223780,0.03,15800,126,0,2160000,6
2026-04-19T01:38:45+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,29.05,7806648,100298223780,0.01,36000000,64600000,0,0,5
2026-04-19T01:38:48+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,2.03,25302139,100298223780,0.03,15800,126,0,2160000,6
2026-04-19T01:38:48+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,31.44,5922357,100298223780,0.01,39700000,71100000,0,0,5
2026-04-19T01:38:51+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:51+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,34.66,7941915,100298223780,0.01,45700000,81900000,0,0,5
2026-04-19T01:38:54+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:54+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,36.53,6860833,100298223780,0.01,51800000,93000000,0,0,5
2026-04-19T01:38:57+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:38:57+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,35.33,5500830,100298223780,0.01,58100000,104000000,0,0,5
2026-04-19T01:39:00+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:39:00+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,34.64,6455034,100298223780,0.01,64400000,115000000,0,0,5
2026-04-19T01:39:03+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,2.4,25459425,100298223780,0.03,15800,126,0,2160000,6
2026-04-19T01:39:03+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,35.52,8376025,100298223780,0.01,70500000,126000000,0,0,5
2026-04-19T01:39:06+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:39:06+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,34.2,6672089,100298223780,0.01,76600000,137000000,0,0,5
2026-04-19T01:39:09+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:39:09+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,30.36,6684672,100298223780,0.01,82500000,148000000,0,0,5
2026-04-19T01:39:12+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,24893194,100298223780,0.02,15800,126,0,2160000,6
2026-04-19T01:39:12+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,1.61,6672089,100298223780,0.01,84800000,152000000,0,0,5
2026-04-19T01:39:15+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,0,25155338,100298223780,0.03,15800,126,0,2160000,6
2026-04-19T01:39:15+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,3.64,5541724,100298223780,0.01,85300000,153000000,0,0,5
2026-04-19T01:39:18+00:00,postgres,d3370b8395e0,yii3-benchmarks-php-fpm-postgres-1,2.38,25973228,100298223780,0.03,15800,126,0,2160000,6
2026-04-19T01:39:18+00:00,valkey,10ca66cbba4f,yii3-benchmarks-php-fpm-valkey-1,17.09,8618246,100298223780,0.01,86900000,156000000,0,0,5
